algoritmo,population_size,seed,ticks,best_x,best_y,best_val,mean_val
CSA,50,1,10,-1.5961871690843723E-4,2.2944035619679084E-4,7.812101183920607E-8,0.0018661355843734094
CSA,50,2,10,-2.0528405593127352E-5,-0.0010568305190752358,1.1173121614850285E-6,0.01304094300681655
CSA,50,3,10,-1.0211550742684019E-4,-1.7496167749428155E-4,4.103916544865404E-8,0.004441276412808593
CSA,50,4,10,3.2030359551114514E-4,6.247545162233535E-5,1.0649757535278205E-7,0.001435276643391024
CSA,50,5,10,-3.307294698204088E-4,-9.774325735084995E-4,1.064756417963137E-6,0.020403825872572376
CSA,50,1,50,-2.72400095296694E-17,-4.848670606183313E-18,7.655277258237459E-34,5.903363682974632E-26
CSA,50,2,50,-8.043587810536233E-17,9.840017302576371E-17,1.6152524538080945E-32,1.2737220498896066E-27
CSA,50,3,50,-6.723446448555116E-18,1.8412864391063835E-17,3.8423830723029502E-34,5.175777509134406E-27
CSA,50,4,50,-4.165941141046256E-16,2.0534542870438038E-16,2.157174009964036E-31,6.529945926052689E-25
CSA,50,5,50,2.35289942884301E-18,1.4011580295654853E-17,2.018605181038331E-34,6.632319552320397E-25
CSA,50,1,100,-4.717852975094963E-34,8.217934012699475E-35,2.293348108898322E-67,2.178781462528674E-57
CSA,50,2,100,2.0965351928228763E-33,6.583872506499803E-33,4.774283699658886E-65,1.0972432467863338E-57
CSA,50,3,100,1.3893106446316796E-33,6.244957528652378E-35,1.9340840167403604E-66,1.0525739987020784E-58
CSA,50,4,100,1.6442753181643152E-33,6.530777035943852E-35,2.707906426793681E-66,7.348372682521022E-58
CSA,50,5,100,1.0774312044701753E-33,-5.384542719438836E-34,1.4507910033406704E-66,3.0642492187351544E-57
CSA,100,1,10,-2.2930519373972214E-5,1.5488414793324821E-6,5.282076286882159E-10,0.012174264099743837
CSA,100,2,10,-5.2034482717046135E-5,6.549737311900665E-5,6.997493277120948E-9,0.012933888698429626
CSA,100,3,10,8.232381660166748E-6,1.882834462386752E-4,3.551842823531074E-8,0.005029448547111256
CSA,100,4,10,7.425185884706042E-5,-7.019048785847911E-5,1.044004312805509E-8,0.015569610739453397
CSA,100,5,10,2.203238125736481E-5,1.7686903123043075E-5,7.98252365953791E-10,0.005436858608030635
CSA,100,1,50,4.360765071731802E-19,1.6767879180754215E-19,2.1827889733039777E-37,1.9499435785405568E-26
CSA,100,2,50,-9.520902257260451E-19,-1.947846923361351E-18,4.700583434771353E-36,6.524051016500577E-24
CSA,100,3,50,-3.1325659778243783E-20,5.220111424673456E-20,3.706253289142914E-39,6.928662274977729E-27
CSA,100,4,50,1.0918169090877953E-19,-2.4659052559841843E-19,7.272752894460452E-38,2.2764488129358936E-25
CSA,100,5,50,2.7655937796730628E-18,2.307070277434533E-19,7.701734686816556E-36,1.5390021615168532E-25
CSA,100,1,100,4.2178506364047103E-35,9.253842220010973E-36,1.8646599949348196E-69,3.151358187199986E-56
CSA,100,2,100,-2.4719538969143283E-37,-3.90981534605787E-37,2.139721210873956E-73,1.3174394108063824E-56
CSA,100,3,100,-4.2715886272249135E-35,-1.0833964686831041E-35,1.9420217308592242E-69,2.0092234856027938E-55
CSA,100,4,100,1.6902550413326443E-37,2.5895588463954537E-38,2.9240202549398685E-74,1.3587525630262271E-59
CSA,100,5,100,1.0824216382500482E-36,-1.442417634678552E-36,3.2522052357835865E-72,3.887668133970897E-57
CSA,200,1,10,-1.999920085002999E-5,1.1191482083404604E-5,5.252173058630065E-10,0.009180374127790129
CSA,200,2,10,-1.8285169617139926E-5,8.04503560463836E-6,3.9907002580747594E-10,0.044230508122261966
CSA,200,3,10,1.270339241970825E-6,7.354665944727915E-6,5.570487294823156E-11,0.02253924212542875
CSA,200,4,10,-1.4152343547928084E-5,-2.351291101541261E-5,7.531458123172934E-10,0.003272685403163716
CSA,200,5,10,1.4125787200435868E-5,-1.0860353866992718E-5,3.174851501483015E-10,0.064242874974102
CSA,200,1,50,-3.197181106839266E-20,1.7032889512568768E-20,1.3123160281403706E-39,9.151442152456432E-22
CSA,200,2,50,1.4585095700782684E-21,-5.884040462110077E-21,3.674918232575846E-41,4.4466540372619134E-23
CSA,200,3,50,1.0995685020624129E-20,8.441910552643432E-21,1.9217094285161036E-40,4.1485587301350056E-24
CSA,200,4,50,-1.5282714684920215E-21,3.844844728574357E-20,1.4806187123660084E-39,1.6133707789159299E-24
CSA,200,5,50,1.826243244006683E-20,-2.5084765336601874E-21,3.3980889314792917E-40,2.0015928584174774E-27
CSA,200,1,100,1.002343033148008E-39,1.1009905797467316E-39,2.216871812791393E-78,1.388039210389082E-57
CSA,200,2,100,1.6952528082852017E-38,-9.506135287564746E-39,3.7775481650537E-76,3.0658008953859987E-56
CSA,200,3,100,2.0605511755621394E-38,-3.323450837913348E-38,1.529119661913745E-75,1.011910774729307E-61
CSA,200,4,100,7.47680885116045E-40,-2.076309420459444E-39,4.870087515456545E-78,3.5276015355017465E-56
CSA,200,5,100,7.80926596322797E-39,-6.64809190642274E-39,1.0518176088067442E-76,7.165861940533607E-58
