algoritmo,population_size,seed,ticks,best_x,best_y,best_val,mean_val
WOA,50,1,10,-0.0148196740876038,0.0598034656019642,0.0037960772380681,5.984861383547674
WOA,50,2,10,-0.0055921856221261,0.0107012789861436,0.00014578991197159358,2.272472592641842
WOA,50,3,10,-0.0018448263729943,0.0303929848792903,0.00092713691421927,2.018912536876216
WOA,50,4,10,-0.0004469728651137741,-0.0023773558122792,5.851605400325799e-06,7.736872618942941
WOA,50,5,10,0.0010070602669721,-0.0398405660608943,0.0015882848744337,2.2264972749571963
WOA,50,1,50,2.463454490552367e-09,4.8599219794188267e-08,2.3679527726308437e-15,7.265334190336342e-12
WOA,50,2,50,4.339726350961441e-08,-1.138787244895603e-07,1.4851686371492088e-14,1.1678067295521838e-10
WOA,50,3,50,3.094123718674255e-06,-5.954539381218766e-06,4.5030140828947757e-11,4.693030813591234e-11
WOA,50,4,50,-1.117021722982327e-09,2.709959174057808e-08,7.356356100356223e-16,1.5913194826733427e-09
WOA,50,5,50,3.7325888972200697e-06,-1.6302940227095885e-05,2.7971807992391176e-10,3.747133572076561e-10
WOA,50,1,100,9.222880714837572e-11,-9.542647227524875e-11,1.7612364478911102e-20,1.839846671680191e-20
WOA,50,2,100,-3.81352776535893e-13,2.617764224301839e-12,6.998119474206244e-24,6.994799657461552e-24
WOA,50,3,100,1.4920185729392437e-13,1.5703042040212322e-12,2.488116487386712e-24,2.6086787219005812e-24
WOA,50,4,100,1.4014007129078417e-12,-8.451563197464237e-12,7.339284443887053e-23,8.864568678786401e-22
WOA,50,5,100,1.3236640518713252e-10,-2.3547350801385605e-10,7.296863819851568e-20,7.421871747656057e-20
WOA,100,1,10,-0.001052929629275,-0.0289686944532207,0.000840293919128267,3.5605983707018747
WOA,100,2,10,-0.0009992816046345751,-0.0040186917779292,1.714844733135716e-05,10.48556384578272
WOA,100,3,10,-0.0001553460717302202,0.000754556741727772,5.934882784888424e-07,10.471794846374296
WOA,100,4,10,-0.0034612058467035,-0.0527318439171937,0.0027926273088205,3.6368437422274833
WOA,100,5,10,0.0053258481677963,-0.0137582671334396,0.00021765457322150643,1.2188410568184982
WOA,100,1,50,-6.758070988497431e-09,3.90074349212974e-08,1.5672515026248225e-15,1.6998245656704178e-10
WOA,100,2,50,-3.4704249843312977e-10,6.0273441576900025e-09,3.64493160909585e-17,8.559805667684728e-09
WOA,100,3,50,1.4969832971097738e-08,-1.0591968246800388e-07,1.1443075033305337e-14,1.07126791044958e-07
WOA,100,4,50,-7.01092384883516e-08,2.3958621890489e-07,6.231686161055842e-14,1.2992805967882037e-06
WOA,100,5,50,-2.0485892973754533e-08,6.742791027532584e-08,4.966194895029518e-15,2.1403570709127002e-07
WOA,100,1,100,-2.2037601489714635e-15,3.3121391357721496e-14,1.1018831242655426e-27,1.1393733446901432e-27
WOA,100,2,100,-3.3766659256869714e-14,2.9446994818783815e-13,8.785273766311762e-26,4.697051235111001e-25
WOA,100,3,100,2.761361720148981e-13,-3.5319060781783367e-12,1.2550611730568117e-23,1.2692960618589828e-23
WOA,100,4,100,3.914588922121551e-13,-1.8689479510242e-12,3.6462065079295225e-24,2.9405829042709647e-19
WOA,100,5,100,-7.116010436302111e-15,-1.1123671376852885e-12,1.2374112866066912e-24,5.670384125515364e-23
WOA,200,1,10,-0.0004895122370853901,7.08622259602094e-05,2.446436853243789e-07,3.7160233097073183
WOA,200,2,10,-0.00017492888453849342,-0.0009947167312849235,1.0200614901440444e-06,5.671136894389309
WOA,200,3,10,0.0021389873018452,0.0096748590042261,9.817816342911136e-05,6.482792802638049
WOA,200,4,10,0.0082525309909458,-0.0091018842721526,0.00015094856506018186,2.5265781959868043
WOA,200,5,10,-0.0006127018608752812,0.0072529294990342,5.298038988828183e-05,6.140744195734959
WOA,200,1,50,-8.033577558958829e-10,2.4342436633940034e-09,6.5709258967319274e-18,1.814043579379284e-08
WOA,200,2,50,2.2605568457748796e-08,-7.195100246256596e-08,5.687958480666141e-15,3.5185721876422446e-10
WOA,200,3,50,1.0503912732783484e-11,-3.780391554563386e-10,1.4302393524083973e-19,4.573640794640728e-12
WOA,200,4,50,1.5995851478239154e-10,7.610731843699027e-09,5.794882592314579e-17,3.241452352862421e-11
WOA,200,5,50,-3.0088351334398352e-12,1.978402116767266e-11,4.0046058242314184e-22,7.637362695769264e-11
WOA,200,1,100,-4.1932111242525333e-17,-2.503434004271125e-14,6.267199396760493e-28,9.835343549901139e-27
WOA,200,2,100,-5.067804385107362e-15,3.8174738699991574e-14,1.4829933160983472e-27,3.314100865469181e-24
WOA,200,3,100,-1.7492710399863666e-15,8.230086813339851e-15,7.079427812644547e-29,9.965561920697877e-29
WOA,200,4,100,-1.2910027776244786e-18,1.6600635876659966e-17,2.77247799681284e-34,6.1867299509901426e-21
WOA,200,5,100,1.1824098365217151e-14,-3.7248536998226165e-14,1.5272628106585538e-27,1.4919952761994058e-24
GWO,50,1,10,8.997832957686363e-05,6.351213764922935e-06,8.136437709730438e-09,1.0109820366910982e-08
GWO,50,2,10,1.8385952755454684e-06,-3.0423523857632176e-07,3.4729916676497085e-12,3.861173070642896e-11
GWO,50,3,10,-3.881992917656795e-05,-3.920545490591712e-05,3.044054595653652e-09,6.483620508248343e-09
GWO,50,4,10,-4.262191126407295e-05,-3.0632872162407244e-05,2.755000176720893e-09,2.755000176720893e-09
GWO,50,5,10,0.0020183050351673,-0.0013510530716655,5.898899617438931e-06,6.861286938442231e-06
GWO,50,1,50,1.5076208861384477e-19,1.2742804265170844e-19,3.8967113417254413e-38,3.9169253361269995e-38
GWO,50,2,50,-2.1430015423798862e-24,-4.327711219188005e-26,4.5943285190822415e-48,4.598850565777985e-48
GWO,50,3,50,-1.444720393172048e-20,1.957938437317548e-20,5.920739938772679e-40,5.957333327376363e-40
GWO,50,4,50,4.869084849959776e-17,7.2681227833184e-17,7.653359606949982e-33,7.702220819745198e-33
GWO,50,5,50,8.03306856742681e-17,2.2320767522526003e-16,5.62746853403632e-32,5.635636770790178e-32
GWO,50,1,100,6.700514759458442e-33,6.841141373263126e-33,9.16981133306929e-65,9.196997653224261e-65
GWO,50,2,100,4.0976154046564174e-41,-3.758506474570864e-41,3.0916822923868677e-81,3.0999377068192107e-81
GWO,50,3,100,-1.5946361457667783e-30,1.5653370616821658e-30,4.993144554061681e-60,4.994874478849846e-60
GWO,50,4,100,8.356143511238913e-32,-7.612293699926588e-32,1.2777214975436223e-62,1.2796068134626402e-62
GWO,50,5,100,7.626865490653278e-39,7.052329366640086e-39,1.0790442670809203e-76,1.0820861064684924e-76
GWO,100,1,10,1.3368207427575678e-05,-1.3955956905307125e-05,3.7347770296947917e-10,3.734777029694798e-10
GWO,100,2,10,8.650124936637935e-06,3.341360822044417e-06,8.598935356253877e-11,8.598935356253865e-11
GWO,100,3,10,-5.991185240206835e-07,-2.036495457391224e-06,4.506256753799811e-12,5.136543583990203e-12
GWO,100,4,10,-3.499414512989672e-07,-6.259603395026456e-07,5.142853659674949e-13,5.615708621331256e-13
GWO,100,5,10,-8.142355343216524e-07,-1.0825130257594177e-06,1.834813956290876e-12,1.8348139562908784e-12
GWO,100,1,50,-1.408981800429868e-26,1.542065778509735e-26,4.363196579193428e-52,4.4089509302381394e-52
GWO,100,2,50,-6.88734589512286e-26,5.384874559248544e-26,7.643240749790791e-51,7.67087124538983e-51
GWO,100,3,50,7.509675575431093e-27,-5.96674977316163e-27,9.199733010375068e-53,9.222393662370828e-53
GWO,100,4,50,-1.2416034114905408e-26,2.39742922588826e-26,7.28924592456813e-52,7.319489356788238e-52
GWO,100,5,50,-4.825494915642434e-26,3.1927717861038578e-27,2.3387339097672397e-51,2.3842593598389185e-51
GWO,100,1,100,1.029067439200512e-53,3.8113835011160407e-53,1.5585623987002268e-105,1.5602521103169703e-105
GWO,100,2,100,1.2402063888722976e-48,-8.161966144076941e-49,2.204288800370247e-96,2.2060200745709837e-96
GWO,100,3,100,8.734833828934812e-41,-6.288483527714571e-41,1.1584234709744152e-80,1.1604587104868203e-80
GWO,100,4,100,5.65741414873403e-47,-5.236937770815836e-47,5.943185206569354e-93,5.948832506471649e-93
GWO,100,5,100,6.45762253067595e-49,-1.0325094579257514e-48,1.4830846681930657e-96,1.4895758869362009e-96
GWO,200,1,10,4.750953505204562e-07,1.3914455478014116e-06,2.1618363045825256e-12,3.2786067279855832e-12
GWO,200,2,10,-7.631296837514023e-06,-3.186923327870123e-06,6.839317171997429e-11,6.839317171997429e-11
GWO,200,3,10,1.896233656394413e-07,-2.637771377131179e-07,1.0553539917655443e-13,1.055353991765549e-13
GWO,200,4,10,-9.15165456155186e-07,4.5415672519544305e-09,8.375484379728336e-13,1.38419798371832e-12
GWO,200,5,10,1.1157388256964912e-07,-1.1152931442388868e-07,2.4887519247528472e-14,9.661980944195841e-14
GWO,200,1,50,6.397489923139165e-33,1.2570172009674522e-34,4.094367823910244e-65,5.883334700296661e-65
GWO,200,2,50,2.6103732504052976e-33,-4.302049253143179e-32,1.8575768261534098e-63,2.4515015040419465e-63
GWO,200,3,50,1.4793767784526874e-33,-1.8187566550399865e-33,5.496431422877293e-66,5.496431422877278e-66
GWO,200,4,50,6.555529069857612e-30,2.9913470951940054e-30,5.192311882967382e-59,5.192311882967365e-59
GWO,200,5,50,6.443329159285586e-35,-2.082356323109121e-34,4.751372762941538e-68,4.751372762941551e-68
GWO,200,1,100,-7.125761816279278e-60,6.488174007955925e-59,4.260416677213828e-117,4.274876594016694e-117
GWO,200,2,100,3.018093248385182e-53,5.122399959872591e-53,3.534786820485094e-105,3.536238525518427e-105
GWO,200,3,100,-1.3204345188632367e-60,-8.017507929724542e-61,2.386351652637546e-120,2.39383621906156e-120
GWO,200,4,100,-2.8693784383065882e-52,-7.735374079493624e-51,5.991834547592402e-101,6.001956709027425e-101
GWO,200,5,100,-1.6907783143425482e-61,2.877583092684987e-63,2.859559356696559e-122,2.859629638613936e-122
CSA,50,1,10,-0.00015961871690843725,0.00022944035619679084,7.812101183920607e-08,0.0018661355843734
CSA,50,2,10,-2.0528405593127352e-05,-0.0010568305190752,1.1173121614850285e-06,0.0130409430068165
CSA,50,3,10,-0.0001021155074268402,-0.00017496167749428155,4.1039165448654046e-08,0.0044412764128085
CSA,50,4,10,0.00032030359551114514,6.247545162233535e-05,1.0649757535278205e-07,0.001435276643391
CSA,50,5,10,-0.0003307294698204088,-0.0009774325735084997,1.064756417963137e-06,0.0204038258725723
CSA,50,1,50,-2.72400095296694e-17,-4.848670606183313e-18,7.65527725823746e-34,5.903363682974632e-26
CSA,50,2,50,-8.043587810536233e-17,9.840017302576371e-17,1.6152524538080943e-32,1.2737220498896066e-27
CSA,50,3,50,-6.723446448555117e-18,1.8412864391063838e-17,3.8423830723029502e-34,5.175777509134406e-27
CSA,50,4,50,-4.165941141046256e-16,2.0534542870438038e-16,2.157174009964036e-31,6.529945926052689e-25
CSA,50,5,50,2.3528994288430098e-18,1.4011580295654853e-17,2.018605181038331e-34,6.632319552320396e-25
CSA,50,1,100,-4.717852975094963e-34,8.217934012699474e-35,2.293348108898322e-67,2.178781462528674e-57
CSA,50,2,100,2.0965351928228767e-33,6.583872506499803e-33,4.774283699658886e-65,1.0972432467863338e-57
CSA,50,3,100,1.3893106446316796e-33,6.244957528652377e-35,1.9340840167403604e-66,1.0525739987020785e-58
CSA,50,4,100,1.6442753181643152e-33,6.530777035943852e-35,2.707906426793681e-66,7.348372682521022e-58
CSA,50,5,100,1.0774312044701753e-33,-5.384542719438836e-34,1.4507910033406704e-66,3.0642492187351544e-57
CSA,100,1,10,-2.293051937397221e-05,1.548841479332482e-06,5.282076286882159e-10,0.0121742640997438
CSA,100,2,10,-5.2034482717046135e-05,6.549737311900665e-05,6.997493277120948e-09,0.0129338886984296
CSA,100,3,10,8.232381660166748e-06,0.0001882834462386752,3.551842823531074e-08,0.0050294485471112
CSA,100,4,10,7.425185884706042e-05,-7.019048785847911e-05,1.0440043128055091e-08,0.0155696107394533
CSA,100,5,10,2.203238125736481e-05,1.7686903123043075e-05,7.98252365953791e-10,0.0054368586080306
CSA,100,1,50,4.360765071731802e-19,1.6767879180754217e-19,2.1827889733039777e-37,1.9499435785405568e-26
CSA,100,2,50,-9.520902257260453e-19,-1.947846923361351e-18,4.700583434771353e-36,6.524051016500577e-24
CSA,100,3,50,-3.1325659778243783e-20,5.220111424673456e-20,3.7062532891429136e-39,6.928662274977729e-27
CSA,100,4,50,1.0918169090877953e-19,-2.4659052559841843e-19,7.272752894460452e-38,2.2764488129358936e-25
CSA,100,5,50,2.7655937796730628e-18,2.307070277434533e-19,7.701734686816556e-36,1.5390021615168532e-25
CSA,100,1,100,4.2178506364047103e-35,9.253842220010972e-36,1.86465999493482e-69,3.151358187199986e-56
CSA,100,2,100,-2.4719538969143283e-37,-3.90981534605787e-37,2.1397212108739562e-73,1.3174394108063824e-56
CSA,100,3,100,-4.2715886272249135e-35,-1.083396468683104e-35,1.942021730859224e-69,2.0092234856027934e-55
CSA,100,4,100,1.6902550413326443e-37,2.589558846395453e-38,2.9240202549398685e-74,1.3587525630262274e-59
CSA,100,5,100,1.0824216382500482e-36,-1.442417634678552e-36,3.2522052357835865e-72,3.887668133970897e-57
CSA,200,1,10,-1.999920085002999e-05,1.1191482083404604e-05,5.252173058630065e-10,0.0091803741277901
CSA,200,2,10,-1.828516961713993e-05,8.04503560463836e-06,3.99070025807476e-10,0.0442305081222619
CSA,200,3,10,1.270339241970825e-06,7.354665944727915e-06,5.5704872948231555e-11,0.0225392421254287
CSA,200,4,10,-1.4152343547928084e-05,-2.351291101541261e-05,7.531458123172933e-10,0.0032726854031637
CSA,200,5,10,1.4125787200435868e-05,-1.0860353866992718e-05,3.1748515014830145e-10,0.064242874974102
CSA,200,1,50,-3.197181106839266e-20,1.7032889512568768e-20,1.3123160281403706e-39,9.151442152456432e-22
CSA,200,2,50,1.4585095700782684e-21,-5.884040462110077e-21,3.6749182325758455e-41,4.446654037261914e-23
CSA,200,3,50,1.0995685020624127e-20,8.441910552643432e-21,1.921709428516104e-40,4.1485587301350056e-24
CSA,200,4,50,-1.5282714684920217e-21,3.844844728574357e-20,1.4806187123660084e-39,1.6133707789159299e-24
CSA,200,5,50,1.826243244006683e-20,-2.5084765336601878e-21,3.3980889314792917e-40,2.001592858417477e-27
CSA,200,1,100,1.002343033148008e-39,1.1009905797467316e-39,2.216871812791393e-78,1.388039210389082e-57
CSA,200,2,100,1.6952528082852015e-38,-9.506135287564745e-39,3.7775481650537e-76,3.065800895385999e-56
CSA,200,3,100,2.0605511755621394e-38,-3.323450837913348e-38,1.529119661913745e-75,1.011910774729307e-61
CSA,200,4,100,7.476808851160449e-40,-2.0763094204594438e-39,4.870087515456545e-78,3.5276015355017465e-56
CSA,200,5,100,7.80926596322797e-39,-6.64809190642274e-39,1.0518176088067442e-76,7.165861940533607e-58
