algoritmo,population_size,seed,ticks,best_x,best_y,best_val,mean_val,min_p_best
WOA,50,1,10,-0.014819674087603804,0.05980346560196422,0.0037960772380681135,5.984861383547674,0.0037960772380681135
WOA,50,2,10,-0.005592185622126195,0.010701278986143602,1.4578991197159358E-4,2.272472592641842,1.4578991197159358E-4
WOA,50,3,10,-0.0018448263729943007,0.030392984879290395,9.271369142192699E-4,2.0189125368762157,9.271369142192699E-4
WOA,50,4,10,-4.4697286511377404E-4,-0.0023773558122792185,5.851605400325799E-6,7.736872618942941,5.851605400325799E-6
WOA,50,5,10,0.001007060266972143,-0.039840566060894325,0.0015882848744337987,2.2264972749571963,0.0015882848744337987
WOA,50,1,50,2.463454490552367E-9,4.8599219794188267E-8,2.3679527726308433E-15,7.265334190336342E-12,2.3679527726308433E-15
WOA,50,2,50,4.339726350961441E-8,-1.1387872448956028E-7,1.4851686371492088E-14,1.167806729552184E-10,1.4851686371492088E-14
WOA,50,3,50,3.094123718674255E-6,-5.954539381218766E-6,4.5030140828947757E-11,4.6930308135912343E-11,4.5030140828947757E-11
WOA,50,4,50,-1.117021722982327E-9,2.709959174057808E-8,7.356356100356222E-16,1.5913194826733427E-9,7.356356100356222E-16
WOA,50,5,50,3.7325888972200697E-6,-1.6302940227095885E-5,2.7971807992391176E-10,3.747133572076561E-10,2.7971807992391176E-10
WOA,50,1,100,9.222880714837573E-11,-9.542647227524876E-11,1.7612364478911102E-20,1.839846671680191E-20,1.7612364478911102E-20
WOA,50,2,100,-3.81352776535893E-13,2.617764224301839E-12,6.998119474206244E-24,6.994799657461552E-24,6.998119474206244E-24
WOA,50,3,100,1.4920185729392437E-13,1.5703042040212322E-12,2.488116487386712E-24,2.608678721900581E-24,2.488116487386712E-24
WOA,50,4,100,1.4014007129078417E-12,-8.451563197464237E-12,7.339284443887053E-23,8.8645686787864E-22,7.339284443887053E-23
WOA,50,5,100,1.3236640518713252E-10,-2.3547350801385605E-10,7.296863819851568E-20,7.421871747656057E-20,7.296863819851568E-20
WOA,100,1,10,-0.0010529296292750082,-0.028968694453220735,8.40293919128267E-4,3.5605983707018747,8.40293919128267E-4
WOA,100,2,10,-9.992816046345753E-4,-0.004018691777929244,1.714844733135716E-5,10.48556384578272,1.714844733135716E-5
WOA,100,3,10,-1.553460717302202E-4,7.54556741727772E-4,5.934882784888424E-7,10.471794846374296,5.934882784888424E-7
WOA,100,4,10,-0.003461205846703508,-0.052731843917193745,0.0027926273088205375,3.6368437422274833,0.0027926273088205375
WOA,100,5,10,0.005325848167796396,-0.013758267133439668,2.1765457322150643E-4,1.2188410568184982,2.1765457322150643E-4
WOA,100,1,50,-6.758070988497431E-9,3.90074349212974E-8,1.5672515026248225E-15,1.699824565670418E-10,1.5672515026248225E-15
WOA,100,2,50,-3.4704249843312977E-10,6.027344157690002E-9,3.6449316090958504E-17,8.559805667684728E-9,3.6449316090958504E-17
WOA,100,3,50,1.4969832971097738E-8,-1.0591968246800388E-7,1.1443075033305335E-14,1.0712679104495798E-7,1.1443075033305335E-14
WOA,100,4,50,-7.01092384883516E-8,2.3958621890488994E-7,6.231686161055841E-14,1.2992805967882035E-6,6.231686161055841E-14
WOA,100,5,50,-2.048589297375453E-8,6.742791027532584E-8,4.966194895029518E-15,2.1403570709126996E-7,4.966194895029518E-15
WOA,100,1,100,-2.2037601489714635E-15,3.312139135772149E-14,1.1018831242655426E-27,1.1393733446901432E-27,1.1018831242655426E-27
