algoritmo,population_size,ticks,mean_best_val,std_best_val,median_best_val,min_best_val,max_best_val,mean_mean_val,rank
CSA,50,10,4.815452664177616e-07,5.571786780057177e-07,1.0649757535278205e-07,4.1039165448654046e-08,1.1173121614850285e-06,0.008237491503992339,1.0
GWO,50,10,1.1825677165825407e-06,2.6365113186287465e-06,3.044054595653652e-09,3.4729916676497085e-12,5.898899617438931e-06,1.3761347982449637e-06,2.0
WOA,50,10,0.0012926281088185979,0.00153779760523129,0.00092713691421927,5.851605400325799e-06,0.0037960772380681,4.047923281393174,3.0
GWO,50,50,1.2785616901300118e-32,2.4535964041064522e-32,3.8967113417254413e-38,4.5943285190822415e-48,5.62746853403632e-32,1.2811725658526735e-32,1.0
CSA,50,50,4.664431041712849e-32,9.475919096530138e-32,7.65527725823746e-34,2.018605181038331e-34,2.157174009964036e-31,2.763419368452158e-25,2.0
WOA,50,50,6.495323520552274e-11,1.216298732094586e-10,1.4851686371492088e-14,7.356356100356223e-16,2.7971807992391176e-10,4.274018310324931e-10,3.0
CSA,50,100,1.081299065087068e-65,2.0664011454668664e-65,1.9340840167403604e-66,2.293348108898322e-67,4.774283699658886e-65,1.4360737192344944e-57,1.0
GWO,50,100,1.0012026934300898e-60,2.2315701667619916e-60,9.16981133306929e-65,3.0916822923868677e-81,4.993144554061681e-60,1.001552503392201e-60,2.0
WOA,50,100,1.8132776351565448e-20,3.158573686681399e-20,7.339284443887053e-23,2.488116487386712e-24,7.296863819851568e-20,1.8702648907924096e-20,3.0
GWO,100,10,9.326448252161523e-11,1.6078897849585452e-10,4.506256753799811e-12,5.142853659674949e-13,3.7347770296947917e-10,9.339999698688654e-11,1.0
CSA,100,10,1.0856484927025758e-08,1.4414558979301017e-08,6.997493277120948e-09,5.282076286882159e-10,3.551842823531074e-08,0.0102288141385537,2.0
WOA,100,10,0.000773663547356024,0.0011789563890020368,0.00021765457322150643,5.934882784888424e-07,0.0027926273088205,5.874728372380974,3.0
GWO,100,50,2.247843248007587e-51,3.136677323857706e-51,7.28924592456813e-52,9.199733010375068e-53,7.643240749790791e-51,2.2640397141110188e-51,1.0
CSA,100,50,2.539406160230411e-36,3.5079278886216785e-36,2.1827889733039777e-37,3.7062532891429136e-39,7.701734686816556e-36,1.386404842401247e-24,2.0
WOA,100,50,1.6065966471521814e-14,2.6224413775371467e-14,4.966194895029518e-15,3.64493160909585e-17,6.231686161055842e-14,3.258345766097367e-07,3.0
GWO,100,100,2.3168469419500195e-81,5.180627255659429e-81,2.204288800370247e-96,1.5585623987002268e-105,1.1584234709744152e-80,2.320917420974831e-81,1.0
CSA,100,100,7.620354286706929e-70,1.0422242981444901e-69,3.2522052357835865e-72,2.9240202549398685e-74,1.942021730859224e-69,4.990231603998884e-56,2.0
WOA,100,100,3.504636829178343e-24,5.266383631052205e-24,1.2374112866066912e-24,1.1018831242655426e-27,1.2550611730568117e-23,5.882563161469341e-20,3.0
GWO,200,10,1.4304595876190747e-11,3.024857601076074e-11,8.375484379728336e-13,2.4887519247528472e-14,6.839317171997429e-11,1.4651626328059344e-11,1.0
CSA,200,10,4.101246334168617e-10,2.575012122521669e-10,3.99070025807476e-10,5.5704872948231555e-11,7.531458123172933e-10,0.02869313695054928,2.0
WOA,200,10,6.06743647106087e-05,6.485666984118183e-05,5.298038988828183e-05,2.446436853243789e-07,0.00015094856506018186,4.907455079691288,3.0
GWO,200,50,1.0385004578824672e-59,2.322051179421806e-59,4.094367823910244e-65,4.751372762941538e-68,5.192311882967382e-59,1.0385126941693968e-59,1.0
CSA,200,50,6.7233275176633544e-40,6.723092185100804e-40,3.3980889314792917e-40,3.6749182325758455e-41,1.4806187123660084e-39,1.9307493734403436e-22,2.0
WOA,200,50,1.1505243313763682e-15,2.5366188990606027e-15,6.5709258967319274e-18,4.0046058242314184e-22,5.687958480666141e-15,3.7211309607676047e-09,3.0
GWO,200,100,1.1984376052548903e-101,2.6795903559230673e-101,4.260416677213828e-117,2.859559356696559e-122,5.991834547592402e-101,1.2004620665759953e-101,1.0
CSA,200,100,4.038286397256075e-76,6.474198069309514e-76,1.0518176088067442e-76,2.216871812791393e-78,1.529119661913745e-75,1.3607750180879475e-56,2.0
WOA,200,100,7.41554124361439e-28,7.382543572896822e-28,6.267199396760493e-28,2.77247799681284e-34,1.5272628106585538e-27,1.238309196426196e-21,3.0
