algoritmo,population_size,seed,ticks,best_x,best_y,best_val,mean_val
GWO,50,1,10,8.997832957686363E-5,6.3512137649229345E-6,8.136437709730438E-9,1.0109820366910982E-8
GWO,50,2,10,1.8385952755454684E-6,-3.0423523857632176E-7,3.4729916676497085E-12,3.861173070642896E-11
GWO,50,3,10,-3.881992917656795E-5,-3.9205454905917116E-5,3.044054595653652E-9,6.483620508248343E-9
GWO,50,4,10,-4.2621911264072946E-5,-3.0632872162407244E-5,2.755000176720893E-9,2.7550001767208936E-9
GWO,50,5,10,0.002018305035167351,-0.0013510530716655984,5.898899617438931E-6,6.861286938442231E-6
GWO,50,1,50,1.5076208861384477E-19,1.2742804265170844E-19,3.896711341725441E-38,3.916925336127E-38
GWO,50,2,50,-2.1430015423798866E-24,-4.327711219188005E-26,4.5943285190822415E-48,4.598850565777985E-48
GWO,50,3,50,-1.444720393172048E-20,1.957938437317548E-20,5.920739938772679E-40,5.957333327376363E-40
GWO,50,4,50,4.869084849959776E-17,7.2681227833184E-17,7.653359606949982E-33,7.702220819745198E-33
GWO,50,5,50,8.033068567426811E-17,2.2320767522526E-16,5.62746853403632E-32,5.635636770790178E-32
GWO,50,1,100,6.700514759458442E-33,6.841141373263126E-33,9.16981133306929E-65,9.19699765322426E-65
GWO,50,2,100,4.0976154046564174E-41,-3.758506474570864E-41,3.0916822923868677E-81,3.0999377068192107E-81
GWO,50,3,100,-1.594636145766778E-30,1.5653370616821658E-30,4.993144554061681E-60,4.994874478849846E-60
GWO,50,4,100,8.356143511238914E-32,-7.612293699926588E-32,1.2777214975436223E-62,1.2796068134626402E-62
GWO,50,5,100,7.626865490653278E-39,7.052329366640086E-39,1.0790442670809203E-76,1.0820861064684924E-76
GWO,100,1,10,1.3368207427575678E-5,-1.3955956905307125E-5,3.7347770296947917E-10,3.734777029694798E-10
GWO,100,2,10,8.650124936637935E-6,3.341360822044417E-6,8.598935356253877E-11,8.598935356253866E-11
GWO,100,3,10,-5.991185240206835E-7,-2.0364954573912236E-6,4.506256753799811E-12,5.136543583990203E-12
GWO,100,4,10,-3.4994145129896715E-7,-6.259603395026456E-7,5.142853659674948E-13,5.615708621331256E-13
GWO,100,5,10,-8.142355343216524E-7,-1.0825130257594175E-6,1.834813956290876E-12,1.8348139562908784E-12
GWO,100,1,50,-1.408981800429868E-26,1.542065778509735E-26,4.3631965791934276E-52,4.4089509302381394E-52
GWO,100,2,50,-6.88734589512286E-26,5.384874559248544E-26,7.643240749790791E-51,7.67087124538983E-51
GWO,100,3,50,7.509675575431093E-27,-5.96674977316163E-27,9.199733010375068E-53,9.222393662370827E-53
GWO,100,4,50,-1.2416034114905408E-26,2.39742922588826E-26,7.28924592456813E-52,7.319489356788238E-52
GWO,100,5,50,-4.8254949156424346E-26,3.192771786103858E-27,2.3387339097672394E-51,2.3842593598389185E-51
GWO,100,1,100,1.029067439200512E-53,3.8113835011160407E-53,1.5585623987002268E-105,1.5602521103169703E-105
GWO,100,2,100,1.2402063888722977E-48,-8.161966144076941E-49,2.204288800370247E-96,2.2060200745709833E-96
GWO,100,3,100,8.734833828934813E-41,-6.288483527714572E-41,1.1584234709744152E-80,1.1604587104868205E-80
GWO,100,4,100,5.657414148734031E-47,-5.236937770815836E-47,5.943185206569354E-93,5.948832506471649E-93
GWO,100,5,100,6.45762253067595E-49,-1.0325094579257514E-48,1.4830846681930657E-96,1.4895758869362009E-96
GWO,200,1,10,4.750953505204562E-7,1.3914455478014116E-6,2.1618363045825256E-12,3.2786067279855832E-12
GWO,200,2,10,-7.631296837514023E-6,-3.186923327870123E-6,6.83931717199743E-11,6.83931717199743E-11
GWO,200,3,10,1.8962336563944127E-7,-2.637771377131179E-7,1.0553539917655442E-13,1.0553539917655488E-13
GWO,200,4,10,-9.15165456155186E-7,4.54156725195443E-9,8.375484379728336E-13,1.38419798371832E-12
GWO,200,5,10,1.1157388256964911E-7,-1.1152931442388868E-7,2.4887519247528472E-14,9.661980944195839E-14
GWO,200,1,50,6.397489923139165E-33,1.2570172009674522E-34,4.094367823910244E-65,5.883334700296661E-65
GWO,200,2,50,2.6103732504052976E-33,-4.302049253143179E-32,1.8575768261534098E-63,2.4515015040419465E-63
GWO,200,3,50,1.4793767784526872E-33,-1.8187566550399865E-33,5.496431422877292E-66,5.496431422877278E-66
GWO,200,4,50,6.555529069857612E-30,2.9913470951940054E-30,5.1923118829673815E-59,5.192311882967364E-59
GWO,200,5,50,6.443329159285587E-35,-2.0823563231091212E-34,4.751372762941538E-68,4.751372762941551E-68
GWO,200,1,100,-7.125761816279278E-60,6.488174007955924E-59,4.2604166772138275E-117,4.274876594016694E-117
GWO,200,2,100,3.0180932483851825E-53,5.122399959872591E-53,3.534786820485094E-105,3.536238525518427E-105
GWO,200,3,100,-1.3204345188632367E-60,-8.017507929724542E-61,2.3863516526375465E-120,2.3938362190615597E-120
GWO,200,4,100,-2.869378438306588E-52,-7.735374079493624E-51,5.991834547592402E-101,6.001956709027425E-101
GWO,200,5,100,-1.6907783143425482E-61,2.877583092684987E-63,2.859559356696559E-122,2.859629638613936E-122
