algoritmo,population_size,seed,ticks,best_x,best_y,best_val,mean_val,min_p_best
WOA,50,1,10,-0.015104447327431752,0.014280794705986082,4.320854265016803E-4,2.246683573997995,4.320854265016803E-4
WOA,50,2,10,0.0027251018555113013,-0.001667140133703969,1.0205536348317625E-5,5.47510793331725,1.0205536348317625E-5
WOA,50,3,10,0.025227846032557007,-0.048080303060076136,0.002948159757791169,0.22483251122634684,0.002948159757791169
WOA,50,4,10,0.005195244040585051,0.023430831971237187,5.759944475055851E-4,1.6089598344526255,5.759944475055851E-4
WOA,50,5,10,0.006819602357197967,0.01761324782880996,3.567334753893788E-4,0.13453075689424995,3.567334753893788E-4
WOA,50,1,50,6.543175417774213E-4,-6.503070413301942E-4,8.510306934812783E-7,0.15233082743185625,8.510306934812783E-7
WOA,50,2,50,8.574718594927893E-5,1.4716867392132796E-4,2.9011198481982375E-8,0.015989421391864787,2.9011198481982375E-8
WOA,50,3,50,0.0013898672893271416,-0.001598975493376848,4.488453710361311E-6,0.038938204715461916,4.488453710361311E-6
WOA,50,4,50,-7.4728508823557974E-6,-1.1315756515075217E-5,1.8388984581839304E-10,1.6584118565584693,1.8388984581839304E-10
WOA,50,5,50,8.869283176383589E-4,-2.716071252083832E-4,8.60412271092772E-7,0.35018587669248336,8.60412271092772E-7
WOA,50,1,100,-1.1857025471534425E-4,-1.4998590463217347E-4,3.655467689159305E-8,0.0022423654401444158,3.655467689159305E-8
WOA,50,2,100,0.001198283975099107,2.94926711112414E-4,1.5228662499069024E-6,0.001357371291436594,1.5228662499069024E-6
WOA,50,3,100,0.0011901487754158052,-1.8499862348905115E-4,1.4506785983165843E-6,0.003998946905598068,1.4506785983165843E-6
WOA,50,4,100,5.292845276471493E-4,2.0660281017918932E-5,2.8056895841840533E-7,0.03611263047451886,2.8056895841840533E-7
WOA,50,5,100,1.424472279396577E-4,-5.926126342585398E-5,2.3803110090521256E-8,0.0013638806694298044,2.3803110090521256E-8
WOA,100,1,10,0.0014649912782737982,-0.001824747372078407,5.47590241732535E-6,2.2465915395075275,5.47590241732535E-6
WOA,100,2,10,0.002463076918850708,0.0033018059589915508,1.696867049900721E-5,3.9028622463460936,1.696867049900721E-5
WOA,100,3,10,0.0022774931197478707,0.010635520674416551,1.1830127492644078E-4,4.46874561572418,1.1830127492644078E-4
WOA,100,4,10,0.008412368519206747,-0.0011521562040561328,7.209540802148576E-5,3.182023570963963,7.209540802148576E-5
WOA,100,5,10,0.004304240664953881,0.0023895259022626803,2.4236321739426903E-5,0.31705564925148616,2.4236321739426903E-5
WOA,100,1,50,2.9312852239343637E-4,-2.0725492419773354E-4,1.288789342447676E-7,0.055300659784278616,1.288789342447676E-7
WOA,100,2,50,3.162008363830662E-4,-2.0200766077786703E-4,1.407900639422964E-7,0.06887080162563464,1.407900639422964E-7
WOA,100,3,50,-2.451410984856603E-4,-1.0131932463041738E-4,7.035976371032011E-8,0.003027902135641468,7.035976371032011E-8
WOA,100,4,50,2.4277151402051145E-4,8.281917514126128E-6,5.900659817752218E-8,0.25178080724695046,5.900659817752218E-8
WOA,100,5,50,7.91027390358259E-5,3.387958459400049E-4,1.2103986854917352E-7,1.797122102402572,1.2103986854917352E-7
WOA,100,1,100,3.858891662478225E-5,-1.1099309445181853E-4,1.3808571502264705E-8,0.0020731236591943034,1.3808571502264705E-8
WOA,100,2,100,1.5212932132150356E-4,-1.7617143158034512E-4,5.4179703710809496E-8,0.4446140144263528,5.4179703710809496E-8
WOA,100,3,100,-5.327836038088437E-5,-6.463855703843805E-5,7.016726740886799E-9,0.03421361744587318,7.016726740886799E-9
WOA,100,4,100,3.3933872464565827E-4,-9.359231986474088E-7,1.1515164599637565E-7,0.006164413709023876,1.1515164599637565E-7
WOA,100,5,100,3.3813514316858955E-4,-2.645605089423445E-4,1.843276379374749E-7,0.1094508301286786,1.843276379374749E-7
WOA,200,1,10,6.627725281278347E-4,0.0013698398749630442,2.31572870707973E-6,2.8996443829882255,2.31572870707973E-6
WOA,200,2,10,-0.002412376761061874,-0.0013919211717995385,7.75700618581518E-6,2.1743558979183395,7.75700618581518E-6
WOA,200,3,10,0.001156737304844706,-6.177611145019495E-4,1.719669987010085E-6,2.979330784219477,1.719669987010085E-6
WOA,200,4,10,0.0036481828292342132,0.001768841107804845,1.643803682017962E-5,1.77450896094106,1.643803682017962E-5
WOA,200,5,10,0.002286035154512067,0.004528382033274271,2.5732200566946234E-5,0.7238340966593849,2.5732200566946234E-5
WOA,200,1,50,3.75671590649439E-5,2.0770415769846495E-5,1.8427016114630848E-9,0.027343706427756027,1.8427016114630848E-9
WOA,200,2,50,1.5674410195633726E-4,1.7712078742910327E-5,2.4882431231493703E-8,0.03144552464824247,2.4882431231493703E-8
WOA,200,3,50,4.063201906544425E-5,-6.878617697454585E-5,6.382499116108167E-9,0.01261028135078465,6.382499116108167E-9
WOA,200,4,50,7.514530098730481E-5,8.673696386777409E-5,1.3170117161472183E-8,0.5322126939267471,1.3170117161472183E-8
WOA,200,5,50,3.8208103021899846E-4,-2.2438245354660015E-4,1.9633339911280338E-7,0.06400731043334777,1.9633339911280338E-7
WOA,200,1,100,-2.103611832502969E-5,-7.508981437750749E-5,6.0809984974331795E-9,0.10754989394575476,6.0809984974331795E-9
WOA,200,2,100,1.4710776137030957E-4,-1.5419409818622898E-5,2.187845165453859E-8,1.983603853824989,2.187845165453859E-8
WOA,200,3,100,7.742057756252897E-5,2.5644090939111588E-5,6.65156523020899E-9,0.0029029510146476927,6.65156523020899E-9
WOA,200,4,100,2.2634367704110067E-4,-1.636526981845188E-5,5.149928219271682E-8,0.010071611228749363,5.149928219271682E-8
WOA,200,5,100,1.7128975473222594E-4,2.4438481936637596E-6,2.9346152470219795E-8,0.02688773291365679,2.9346152470219795E-8
